No.,Player,Performance,Market Value,90s,Nation,Pos,Squad,Age,Born,Matches,Starts,Minutes,Goals,Assists,Goals+Assists,Non Penalty Goals,Penalty Kicks,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,npxG+xAG,PrgC,PrgC/90,PrgP,PrgP/90,PrgR,PrgR/90,Gls P90,Ast P90,G+A P90,G-PK P90,G+A-PK P90,Xg P90,xAG P90,xG+xAG P90,npxG P90,npxG+xAG P90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Shot Dist,FK,PK,PKatt,npxG/Sh,G-xG,np:G-xG,Passes Comp,Passes Comp/90,Passes Att,Cmp%,TotDist,TotDist/90,PrgDist,PrgDist/90,Short Cmp,Short Att,Short Cmp%,Med Cmp,Med Att,Med Cmp%,Long Cmp,Long Att,Long Cmp%,xA,A-xAG,KP,KP/90,finalThirdPasses,final3rdPasses/90,PenAreaPasses,PenAreaPasses/90,CrsPA,CrsPA/90,Live,Live/90,Dead,Dead/90,FK,Through,Through/90,Switches,Switches/90,Crosses,Crosses/90,Throw ins,Corners,Passes Off,Passes Blocked,SCA,SCA90,PassLive,PassDead,Take ons,GCA,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Tkl+Int,Tkl+Int/90,Clr,Clr/90,Err eading to shots,Touches,Touches/90,T Def Pen,T Def Pen/90,T Def 3rd,T Def 3rd/90,T Mid 3rd,T Mid 3rd/90,T Att 3rd,T Att 3rd/90,T Att Pen,T Att Pen/90,T Live,TO Att,TO Succ,TO Succ%,Tkld,Tkld%,Carries,Carries/90,FINAL 3RD CARRIES,FINAL 3RD CARRIES/90,CPA,Mis,Dis,PASS Rec,PASS Rec/90,Prg PASS REC,PKwon,PKcon,OG,AD Won,AD Lost,Won%,GoalsAg,GoalsAg90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,PKA,FK G ag,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,GKCmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
242,Jefferson Lerma,7.06,20,36.1,co COL,MF,Bournemouth,27,1994,37,37,"3,252",5,0,5,5,0,0,7,0,2.6,2.6,2.3,4.9,22,0.61,142,3.93,30,0.83,0.14,0,0.14,0.14,0.14,0.07,0.06,0.14,0.07,0.14,35,10,28.6,0.97,0.28,0.14,0.5,17.6,0,0,0,0.07,2.4,2.4,1317,36.48,1611,81.8,20458,566.7,7229,200.25,695,793,87.6,502,581,86.4,77,146,52.7,3.1,-2.3,18,0.5,126,3.49,23,0.64,2,0.06,1551,42.96,59,1.63,46,7,0.19,7,0.19,11,0.3,11,0,1,24,47,1.3,42,2,0,1,0.03,50,30,23,23,4,32,97,2.69,91,2.52,1,1934,53.57,165,4.57,587,16.26,1030,28.53,338,9.36,44,1.22,1934,23,13,56.5,9,39.1,946,26.2,32,0.89,1,24,17,1162,32.19,30,0,2,1,62,40,60.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Rico Lewis,6.84,20,10,eng ENG,DF,Manchester City,17,2004,14,10,903,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,22,2.2,48,4.8,26,2.6,0,0,0,0,0,0.02,0.15,0.17,0.02,0.17,5,2,40,0.5,0.2,0,0,21.1,0,0,0,0.04,-0.2,-0.2,617,61.7,675,91.4,8779,877.9,1476,147.6,378,400,94.5,203,219,92.7,19,23,82.6,1.6,-1.5,12,1.2,38,3.8,10,1,3,0.3,633,63.3,41,4.1,7,1,0.1,0,0,5,0.5,31,0,1,9,27,2.69,24,1,0,0,0,16,9,9,5,2,8,22,2.2,13,1.3,1,742,74.2,26,2.6,133,13.3,416,41.6,199,19.9,12,1.2,742,14,8,57.1,3,21.4,511,51.1,24,2.4,3,7,13,593,59.3,26,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Keane Lewis-Potter,6.38,12,3.6,eng ENG,FW,Brentford,21,2001,10,3,321,0,1,1,0,0,0,0,0,0.5,0.5,1.2,1.7,8,2.22,6,1.67,39,10.83,0,0.28,0.28,0,0.28,0.14,0.35,0.49,0.14,0.49,7,2,28.6,1.96,0.56,0,0,14.1,0,0,0,0.07,-0.5,-0.5,49,13.61,86,57,600,166.67,118,32.78,33,50,66,12,17,70.6,1,10,10,0.3,-0.2,5,1.39,2,0.56,3,0.83,1,0.28,83,23.06,3,0.83,0,1,0.28,1,0.28,8,2.22,2,0,0,3,8,2.24,2,0,2,2,0.56,1,0,0,1,0,5,1,0.28,2,0.56,0,138,38.33,4,1.11,24,6.67,48,13.33,69,19.17,18,5,138,14,4,28.6,10,71.4,93,25.83,6,1.67,3,11,8,91,25.28,39,0,0,0,4,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Victor Lindelöf,7.15,18,15.2,se SWE,DF,Manchester Utd,28,1994,20,14,"1,365",0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,3,0.2,36,2.37,1,0.07,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,3,0,0,0.2,0,0,0,7.9,0,0,0,0.09,-0.3,-0.3,866,56.97,930,93.1,15313,1007.43,4622,304.08,318,336,94.6,479,495,96.8,54,76,71.1,0.4,-0.1,3,0.2,35,2.3,2,0.13,0,0,905,59.54,25,1.64,13,2,0.13,1,0.07,1,0.07,1,0,0,1,6,0.4,6,0,0,0,0,22,17,10,9,3,18,43,2.83,63,4.14,1,1074,70.66,145,9.54,550,36.18,491,32.3,35,2.3,5,0.33,1074,3,2,66.7,1,33.3,652,42.89,4,0.26,0,1,2,739,48.62,1,0,0,0,33,20,62.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Jesse Lingard,6.4,6,10.3,eng ENG,FW,Nott'ham Forest,29,1992,17,12,923,0,0,0,0,0,0,1,0,1,1,0.7,1.7,11,1.07,33,3.2,38,3.69,0,0,0,0,0,0.1,0.07,0.17,0.1,0.17,10,2,20,0.98,0.2,0,0,19.3,0,0,0,0.1,-1,-1,236,22.91,297,79.5,3558,345.44,897,87.09,121,137,88.3,88,104,84.6,14,28,50,0.5,-0.7,11,1.07,27,2.62,7,0.68,1,0.1,271,26.31,24,2.33,7,1,0.1,4,0.39,5,0.49,8,0,2,5,25,2.44,18,1,2,2,0.2,4,4,2,2,0,11,9,0.87,4,0.39,0,371,36.02,7,0.68,44,4.27,202,19.61,132,12.82,16,1.55,371,10,6,60,4,40,214,20.78,12,1.17,0,16,10,263,25.53,38,0,0,0,1,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Diego Llorente,6.72,8,7.2,es ESP,DF,Leeds United,28,1993,8,7,649,0,0,0,0,0,0,1,0,0.7,0.7,0,0.7,2,0.28,27,3.75,1,0.14,0,0,0,0,0,0.1,0,0.1,0.1,0.1,6,0,0,0.83,0,0,0,12.5,0,0,0,0.12,-0.7,-0.7,356,49.44,429,83,6969,967.92,2284,317.22,118,130,90.8,203,228,89,33,59,55.9,0,0,0,0,17,2.36,0,0,0,0,417,57.92,11,1.53,10,0,0,4,0.56,1,0.14,0,0,1,2,6,0.83,5,0,0,1,0.14,13,10,8,5,0,6,28,3.89,24,3.33,2,506,70.28,59,8.19,283,39.31,210,29.17,15,2.08,6,0.83,506,3,2,66.7,1,33.3,303,42.08,1,0.14,0,6,1,312,43.33,1,0,0,0,18,7,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Renan Lodi,6.78,20,24.6,br BRA,DF,Nott'ham Forest,24,1998,28,26,"2,214",0,1,1,0,0,0,7,0,1,1,1.2,2.1,24,0.98,31,1.26,70,2.85,0,0.04,0.04,0,0.04,0.04,0.05,0.09,0.04,0.09,15,0,0,0.61,0,0,0,19.9,2,0,0,0.06,-1,-1,583,23.7,877,66.5,10215,415.24,3529,143.46,272,323,84.2,242,339,71.4,57,162,35.2,1.3,-0.2,13,0.53,25,1.02,14,0.57,8,0.33,684,27.8,189,7.68,44,0,0,3,0.12,75,3.05,130,15,4,29,30,1.22,22,6,0,4,0.16,52,39,38,8,6,25,85,3.46,74,3.01,0,1143,46.46,96,3.9,478,19.43,418,16.99,263,10.69,21,0.85,1143,39,16,41,14,35.9,546,22.2,15,0.61,2,18,13,535,21.75,70,0,0,0,18,19,48.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Ruben Loftus-Cheek,6.98,25,17.1,eng ENG,MF,Chelsea,26,1996,25,19,"1,536",0,1,1,0,0,0,1,0,0.8,0.8,1.5,2.4,56,3.27,90,5.26,86,5.03,0,0.06,0.06,0,0.06,0.05,0.09,0.14,0.05,0.14,9,2,22.2,0.53,0.12,0,0,18.6,0,0,0,0.09,-0.8,-0.8,782,45.73,907,86.2,11417,667.66,2878,168.3,475,530,89.6,263,291,90.4,29,37,78.4,1.8,-0.5,16,0.94,78,4.56,18,1.05,1,0.06,858,50.18,44,2.57,11,1,0.06,6,0.35,19,1.11,32,0,5,20,36,2.11,31,0,3,4,0.23,25,14,8,14,3,15,37,2.16,23,1.35,0,1068,62.46,40,2.34,185,10.82,576,33.68,322,18.83,42,2.46,1068,60,30,50,22,36.7,651,38.07,29,1.7,10,22,23,774,45.26,86,0,0,1,22,26,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,Sean Longstaff,6.89,25,28,eng ENG,MF,Newcastle Utd,24,1997,33,28,"2,518",1,4,5,1,0,0,2,0,3.6,3.6,3.3,6.9,21,0.75,116,4.14,115,4.11,0.04,0.14,0.18,0.04,0.18,0.13,0.12,0.25,0.13,0.25,33,7,21.2,1.18,0.25,0.03,0.14,16,0,0,0,0.11,-2.6,-2.6,943,33.68,1163,81.1,15457,552.04,4299,153.54,470,538,87.4,362,415,87.2,78,129,60.5,2.6,0.7,23,0.82,80,2.86,21,0.75,5,0.18,1118,39.93,41,1.46,7,7,0.25,6,0.21,30,1.07,4,3,4,31,62,2.22,46,1,2,6,0.21,42,21,16,20,6,35,58,2.07,23,0.82,0,1433,51.18,45,1.61,278,9.93,742,26.5,420,15,76,2.71,1433,27,8,29.6,18,66.7,752,26.86,16,0.57,8,37,29,951,33.96,115,0,0,0,23,28,45.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,Douglas Luiz,7.31,55,32.5,br BRA,MF,Aston Villa,24,1998,37,33,"2,927",6,6,12,6,0,0,6,1,2.8,2.8,4.4,7.2,48,1.48,148,4.55,35,1.08,0.18,0.18,0.37,0.18,0.37,0.09,0.14,0.22,0.09,0.22,34,12,35.3,1.05,0.37,0.18,0.5,25,7,0,0,0.08,3.2,3.2,1494,45.97,1812,82.5,26492,815.14,6527,200.83,613,680,90.1,665,768,86.6,158,277,57,2.9,1.6,45,1.38,123,3.78,19,0.58,4,0.12,1593,49.02,216,6.65,120,6,0.18,10,0.31,106,3.26,6,89,3,16,96,2.95,61,26,4,12,0.37,73,42,31,32,10,36,113,3.48,27,0.83,2,2118,65.17,75,2.31,534,16.43,1161,35.72,443,13.63,19,0.58,2117,44,24,54.5,14,31.8,1142,35.14,39,1.2,4,36,33,1326,40.8,35,0,0,0,25,22,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Saša Lukić,6.37,12,4.6,rs SRB,MF,Fulham,25,1996,12,4,412,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,8,1.74,13,2.83,5,1.09,0,0,0,0,0,0.03,0,0.03,0.03,0.03,5,1,20,1.09,0.22,0,0,27.1,0,0,0,0.02,-0.1,-0.1,192,41.74,218,88.1,3180,691.3,681,148.04,86,97,88.7,91,99,91.9,12,16,75,0.1,0,0,0,20,4.35,2,0.43,1,0.22,211,45.87,7,1.52,7,0,0,0,0,2,0.43,0,0,0,0,5,1.09,4,0,0,1,0.22,8,3,1,4,3,6,13,2.83,3,0.65,0,253,55,9,1.96,49,10.65,155,33.7,52,11.3,3,0.65,253,5,4,80,1,20,146,31.74,7,1.52,1,3,1,171,37.17,5,0,0,0,4,5,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,Lyanco,6.66,3.5,13.1,br BRA,DF,Southampton,25,1997,21,11,"1,180",1,1,2,1,0,0,4,0,0.6,0.6,0.5,1,13,0.99,35,2.67,4,0.31,0.08,0.08,0.15,0.08,0.15,0.04,0.04,0.08,0.04,0.08,12,4,33.3,0.92,0.31,0.08,0.25,19.1,0,0,0,0.05,0.4,0.4,400,30.53,558,71.7,7719,589.24,2787,212.75,137,163,84,208,263,79.1,44,110,40,0.1,0.5,4,0.31,31,2.37,3,0.23,1,0.08,494,37.71,63,4.81,15,3,0.23,6,0.46,7,0.53,48,0,1,7,9,0.69,6,1,1,0,0,24,16,15,9,0,30,44,3.36,65,4.96,2,720,54.96,123,9.39,368,28.09,297,22.67,64,4.89,12,0.92,720,11,8,72.7,2,18.2,368,28.09,8,0.61,1,11,4,353,26.95,4,0,0,0,25,19,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Alexis Mac Allister,7.5,65,32.1,ar ARG,MF,Brighton,23,1998,35,31,"2,886",10,2,12,4,6,6,8,0,12.1,7.3,4.3,11.6,69,2.15,174,5.42,77,2.4,0.31,0.06,0.37,0.12,0.19,0.38,0.13,0.51,0.23,0.36,80,28,35,2.49,0.87,0.05,0.14,22.5,8,6,6,0.09,-2.1,-3.3,1586,49.41,1844,86,24936,776.82,6259,194.98,847,930,91.1,591,653,90.5,101,148,68.2,4.4,-2.3,47,1.46,151,4.7,33,1.03,1,0.03,1785,55.61,52,1.62,35,15,0.47,11,0.34,29,0.9,5,12,7,43,106,3.31,76,7,9,8,0.25,70,39,22,40,8,26,92,2.87,10,0.31,1,2182,67.98,48,1.5,367,11.43,1194,37.2,644,20.06,63,1.96,2176,72,42,58.3,21,29.2,1319,41.09,74,2.31,8,47,36,1644,51.21,77,0,0,1,25,16,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,James Maddison,7.49,70,27.6,eng ENG,MF,Leicester City,25,1996,30,28,"2,480",10,9,19,9,1,2,10,0,8.7,6.6,9.3,16,77,2.79,151,5.47,155,5.62,0.36,0.33,0.69,0.33,0.65,0.31,0.34,0.65,0.24,0.58,83,27,32.5,3.01,0.98,0.11,0.33,21.1,13,1,2,0.08,1.3,2.4,844,30.58,1150,73.4,14244,516.09,4356,157.83,417,481,86.7,300,395,75.9,93,186,50,5.7,-0.3,69,2.5,117,4.24,27,0.98,4,0.14,998,36.16,142,5.14,60,13,0.47,8,0.29,123,4.46,4,69,10,29,138,5.01,76,29,12,13,0.47,51,26,25,19,7,19,64,2.32,6,0.22,1,1447,52.43,17,0.62,160,5.8,647,23.44,655,23.73,103,3.73,1445,107,46,43,39,36.4,964,34.93,44,1.59,31,45,31,1075,38.95,155,1,0,0,4,10,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,Noni Madueke,7,30,7.1,eng ENG,FW,Chelsea,20,2002,12,7,643,1,0,1,1,0,0,0,0,0.9,0.9,0.5,1.5,48,6.76,36,5.07,100,14.08,0.14,0,0.14,0.14,0.14,0.13,0.07,0.2,0.13,0.2,12,6,50,1.68,0.84,0.08,0.17,15.6,0,0,0,0.08,0.1,0.1,223,31.41,286,78,2972,418.59,771,108.59,137,162,84.6,66,86,76.7,8,12,66.7,0.7,-0.5,13,1.83,11,1.55,13,1.83,0,0,278,39.15,8,1.13,0,0,0,0,0,19,2.68,7,1,0,9,24,3.36,19,0,4,1,0.14,12,8,5,4,3,13,16,2.25,7,0.99,0,405,57.04,11,1.55,45,6.34,133,18.73,233,32.82,62,8.73,405,63,33,52.4,24,38.1,278,39.15,21,2.96,26,17,13,315,44.37,100,0,0,0,2,5,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Harry Maguire,7.04,20,8.5,eng ENG,DF,Manchester Utd,29,1993,16,8,767,0,0,0,0,0,0,4,0,0.3,0.3,0,0.4,8,0.94,26,3.06,4,0.47,0,0,0,0,0,0.04,0,0.04,0.04,0.04,3,0,0,0.35,0,0,0,9,0,0,0,0.12,-0.3,-0.3,491,57.76,577,85.1,9892,1163.76,3056,359.53,147,165,89.1,276,304,90.8,58,93,62.4,0.1,0,1,0.12,31,3.65,0,0,0,0,564,66.35,12,1.41,11,0,0,9,1.06,1,0.12,1,0,1,3,5,0.59,5,0,0,1,0.12,8,6,6,1,1,18,21,2.47,41,4.82,0,672,79.06,77,9.06,353,41.53,291,34.24,32,3.76,9,1.06,672,3,2,66.7,1,33.3,414,48.71,6,0.71,1,1,0,448,52.71,4,0,0,0,25,22,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Riyad Mahrez,7.3,18,21.3,dz ALG,FW,Manchester City,31,1991,30,22,"1,920",5,10,15,4,1,1,2,0,5.5,4.7,7,11.8,78,3.66,76,3.57,242,11.36,0.23,0.47,0.7,0.19,0.66,0.26,0.33,0.59,0.22,0.55,42,12,28.6,1.97,0.56,0.1,0.33,17.2,7,1,1,0.11,-0.5,-0.7,958,44.98,1166,82.2,15746,739.25,2752,129.2,506,567,89.2,355,416,85.3,82,141,58.2,5.3,3,52,2.44,36,1.69,37,1.74,7,0.33,1028,48.26,138,6.48,36,10,0.47,7,0.33,96,4.51,37,65,0,18,116,5.44,74,17,7,21,0.98,30,14,8,13,9,27,39,1.83,5,0.23,0,1392,65.35,14,0.66,105,4.93,494,23.19,802,37.65,110,5.16,1391,73,25,34.2,27,37,934,43.85,47,2.21,45,35,27,1042,48.92,242,0,0,0,9,14,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Ainsley Maitland-Niles,6.66,6,15.6,eng ENG,DF,Southampton,24,1997,22,13,"1,407",0,0,0,0,0,0,3,0,0,0,0.7,0.7,15,0.96,57,3.65,35,2.24,0,0,0,0,0,0,0.05,0.05,0,0.05,1,1,100,0.06,0.06,0,0,31.4,0,0,0,0.02,0,0,565,36.22,713,79.2,9322,597.56,3245,208.01,288,331,87,214,258,82.9,50,84,59.5,0.7,-0.7,10,0.64,52,3.33,12,0.77,5,0.32,633,40.58,77,4.94,11,2,0.13,3,0.19,20,1.28,66,0,3,12,24,1.54,22,0,1,2,0.13,45,24,23,18,4,28,67,4.29,45,2.88,1,912,58.46,73,4.68,328,21.03,440,28.21,155,9.94,7,0.45,912,22,17,77.3,5,22.7,407,26.09,13,0.83,2,26,13,509,32.63,35,1,1,0,15,11,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Tyrell Malacia,6.99,22,15.5,nl NED,DF,Manchester Utd,22,1999,22,14,"1,396",0,0,0,0,0,0,6,0,0.2,0.2,0.7,0.9,19,1.23,44,2.84,33,2.13,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,5,2,40,0.32,0.13,0,0,22.1,0,0,0,0.05,-0.2,-0.2,694,44.77,802,86.5,10156,655.23,2981,192.32,429,463,92.7,205,232,88.4,35,60,58.3,0.7,-0.7,9,0.58,36,2.32,8,0.52,0,0,670,43.23,130,8.39,11,0,0,5,0.32,15,0.97,117,2,2,16,19,1.22,19,0,0,0,0,46,33,33,12,1,13,71,4.58,49,3.16,0,989,63.81,54,3.48,378,24.39,392,25.29,225,14.52,16,1.03,989,19,6,31.6,13,68.4,472,30.45,17,1.1,3,17,8,557,35.94,33,0,0,0,8,4,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Orel Mangala,6.64,20,17.2,be BEL,MF,Nott'ham Forest,24,1998,27,20,"1,550",1,1,2,1,0,0,3,0,0.6,0.6,0.4,0.9,14,0.81,43,2.5,8,0.47,0.06,0.06,0.12,0.06,0.12,0.03,0.02,0.06,0.03,0.06,9,3,33.3,0.52,0.17,0.11,0.33,20.7,0,0,0,0.06,0.4,0.4,411,23.9,514,80,6178,359.19,1807,105.06,223,256,87.1,153,183,83.6,22,42,52.4,0.5,0.6,3,0.17,35,2.03,3,0.17,0,0,508,29.53,4,0.23,3,1,0.06,1,0.06,6,0.35,0,0,2,11,13,0.76,11,0,0,1,0.06,28,20,16,10,2,21,51,2.97,15,0.87,0,655,38.08,31,1.8,183,10.64,380,22.09,99,5.76,8,0.47,655,34,16,47.1,12,35.3,334,19.42,6,0.35,2,11,9,383,22.27,8,0,0,0,11,9,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Sekou Mara,6.25,8,6.2,fr FRA,FW,Southampton,20,2002,22,4,555,1,2,3,1,0,0,1,0,1,1,0.8,1.8,7,1.13,7,1.13,27,4.35,0.16,0.32,0.49,0.16,0.49,0.17,0.12,0.29,0.17,0.29,17,4,23.5,2.76,0.65,0.06,0.25,16.2,0,0,0,0.06,0,0,68,10.97,107,63.6,876,141.29,162,26.13,44,59,74.6,14,18,77.8,4,7,57.1,0.3,1.2,6,0.97,6,0.97,2,0.32,0,0,102,16.45,2,0.32,0,1,0.16,0,0,1,0.16,0,0,3,4,12,1.95,8,0,3,3,0.49,14,10,5,8,1,11,15,2.42,5,0.81,0,221,35.65,5,0.81,27,4.35,99,15.97,103,16.61,26,4.19,221,29,13,44.8,16,55.2,129,20.81,9,1.45,2,28,18,151,24.35,27,0,0,0,25,40,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Anthony Martial,6.85,15,10.9,fr FRA,FW,Manchester Utd,26,1995,21,11,978,6,2,8,5,1,1,0,0,6.2,5.5,1.4,6.9,18,1.65,35,3.21,87,7.98,0.55,0.18,0.74,0.46,0.64,0.58,0.13,0.7,0.5,0.63,26,12,46.2,2.39,1.1,0.19,0.42,13.2,0,1,1,0.21,-0.2,-0.5,263,24.13,328,80.2,3259,298.99,910,83.49,173,198,87.4,61,73,83.6,9,14,64.3,1.4,0.6,12,1.1,14,1.28,13,1.19,0,0,314,28.81,12,1.1,3,3,0.28,0,0,4,0.37,2,0,2,14,28,2.58,22,0,1,5,0.46,5,3,0,2,3,11,6,0.55,4,0.37,0,443,40.64,10,0.92,31,2.84,166,15.23,249,22.84,49,4.5,442,26,14,53.8,9,34.6,297,27.25,13,1.19,8,33,20,371,34.04,87,1,0,0,10,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Gabriel Martinelli,7.42,80,31,br BRA,FW,Arsenal,21,2001,36,34,"2,789",15,5,20,15,0,0,3,0,9.3,9.3,9.1,18.4,124,4,94,3.03,350,11.29,0.48,0.16,0.65,0.48,0.65,0.3,0.29,0.59,0.3,0.59,79,30,38,2.55,0.97,0.19,0.5,15.4,2,0,0,0.12,5.7,5.7,833,26.87,1107,75.2,12960,418.06,2610,84.19,447,527,84.8,295,356,82.9,61,123,49.6,7,-4.1,59,1.9,33,1.06,43,1.39,10,0.32,1013,32.68,88,2.84,12,8,0.26,2,0.06,113,3.65,11,63,6,44,127,4.1,89,8,12,17,0.55,31,18,13,12,6,24,40,1.29,14,0.45,0,1490,48.06,19,0.61,129,4.16,419,13.52,965,31.13,223,7.19,1490,132,59,44.7,55,41.7,1019,32.87,65,2.1,70,83,56,1115,35.97,350,0,0,0,14,63,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Lisandro Martínez,7.1,50,23.5,ar ARG,DF,Manchester Utd,24,1998,27,24,"2,114",1,0,1,1,0,0,6,0,0.5,0.5,0.3,0.8,12,0.51,83,3.53,2,0.09,0.04,0,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,10,1,10,0.43,0.04,0.1,1,14.8,0,0,0,0.05,0.5,0.5,1330,56.6,1528,87,23895,1016.81,8188,348.43,532,568,93.7,683,728,93.8,96,193,49.7,1,-0.3,6,0.26,92,3.91,5,0.21,0,0,1401,59.62,122,5.19,34,7,0.3,16,0.68,0,0,5,0,5,7,18,0.77,16,0,0,1,0.04,54,28,33,18,3,51,87,3.7,103,4.38,0,1809,76.98,281,11.96,934,39.74,829,35.28,60,2.55,11,0.47,1809,16,14,87.5,0,0,1061,45.15,16,0.68,0,11,9,1138,48.43,2,0,0,0,32,31,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Pape Matar Sarr,6.61,35,2.4,sn SEN,MF,Tottenham,19,2002,11,2,218,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,1,0.42,13,5.42,0,0,0,0.41,0.41,0,0.41,0.03,0.14,0.17,0.03,0.17,2,0,0,0.83,0,0,0,27.3,0,0,0,0.03,-0.1,-0.1,141,58.75,154,91.6,2130,887.5,449,187.08,70,73,95.9,62,65,95.4,3,8,37.5,0,0.7,2,0.83,9,3.75,0,0,0,0,150,62.5,4,1.67,2,0,0,1,0.42,0,0,0,0,0,0,4,1.65,4,0,0,2,0.83,7,6,4,2,1,3,13,5.42,6,2.5,0,190,79.17,15,6.25,65,27.08,104,43.33,21,8.75,1,0.42,190,4,1,25,1,25,122,50.83,0,0,0,5,2,125,52.08,0,0,1,0,3,5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
